Norman_1000000 1 3 24
Norman_2000000 1 3 17
Joanna_100000 2 4 78
Joanna_500000 2 4 39
Joanna_1000000 2 4 29
Joanna_2000000 2 6 39
Cynthia_100000 1 3 53
Cynthia_500000 1 3 28
Cynthia_1000000 1 3 22
Cynthia_2000000 1 3 22
Amy_100000 2 4 131
Amy_500000 2 4 78
Amy_1000000 2 4 77
Amy_2000000 2 2 13
Marie_100000 0 3 25
Marie_500000 0 3 3
Marie_1000000 0 3 3
Marie_2000000 0 3 3
Lori_100000 2 4 86
Lori_500000 2 4 68
Lori_1000000 2 4 48
Lori_2000000 2 4 41
Ivan_100000 0 3 41
Ivan_500000 0 3 11
Ivan_1000000 0 3 3
Ivan_2000000 0 3 3
Chester_100000 2 5 76
Chester_500000 2 5 47
Chester_1000000 2 5 37
Chester_2000000 2 5 37
Arthur_100000 0 2 14
Arthur_500000 0 2 8
Arthur_1000000 0 2 2
Arthur_2000000 0 2 2
Susan_100000 2 2 50
Susan_500000 2 2 48
Susan_1000000 2 2 37
Susan_2000000 2 3 87
Terry_100000 2 5 81
Terry_500000 2 5 52
Terry_1000000 2 5 52
Terry_2000000 2 5 37
Tamara_100000 0 2 10
Tamara_500000 0 2 2
Tamara_1000000 0 2 2
Tamara_2000000 0 2 2
Rose_100000 0 2 94
Rose_500000 0 2 72
Rose_1000000 0 2 72
Rose_2000000 0 2 70
Cecil_100000 2 2 148
Cecil_500000 2 3 223
Cecil_1000000 2 3 219
Cecil_2000000 2 3 188
Leticia_100000 1 3 53
Leticia_500000 1 3 37
Leticia_1000000 1 3 37
Leticia_2000000 1 3 35
Phuong_100000 0 3 41
Phuong_500000 0 3 11
Phuong_1000000 0 3 3
Phuong_2000000 0 3 3
Sharon_100000 0 4 32
Sharon_500000 0 4 29
Sharon_1000000 0 4 4
Sharon_2000000 0 4 4
Rochelle_100000 0 3 26
Rochelle_500000 0 3 11
Rochelle_1000000 0 3 3
Rochelle_2000000 0 3 3
Millard_100000 0 2 21
Millard_500000 0 2 11
Millard_1000000 0 2 11
Millard_2000000 0 2 5
Michelle_100000 0 2 10
Michelle_500000 0 2 2
Michelle_1000000 0 2 2
Michelle_2000000 0 2 2
Stacey_100000 1 2 47
Stacey_500000 1 2 16
Stacey_1000000 1 2 16
Stacey_2000000 1 2 10
Jewell_100000 2 3 67
Jewell_500000 2 3 54
Jewell_1000000 2 3 53
Jewell_2000000 2 4 64
